collegeName,country,dateOfBirthUTC,firstName,heightFeet,heightInches,heightMeters,isActive,jersey,lastAffiliation,lastName,nbaDebutYear,personId,pos,teamId,temporaryDisplayName,weightKilograms,weightPounds,yearsPro
University of North Carolina at Cha,USA,2000-02-11,Nassir,6,6,1.98,1,9,University of North Carolina at Cha/USA,Little,,1629642,F,1610612757,"Little, Nassir",99.8,220,0
UCLA,USA,1996-02-06,Kevon,6,9,2.06,1,5,UCLA/USA,Looney,2015,1626172,C-F,1610612744,"Looney, Kevon",99.8,220,4
Stanford,USA,1988-04-01,Brook,7,0,2.13,1,11,Stanford/USA,Lopez,2008,201572,C,1610612749,"Lopez, Brook",122.5,270,11
Stanford,USA,1988-04-01,Robin,7,0,2.13,1,,Stanford/USA,Lopez,2008,201577,C,1610612749,"Lopez, Robin",124.7,275,11
UCLA,USA,1988-09-07,Kevin,6,10,2.08,1,0,UCLA/USA,Love,2008,201567,F-C,1610612739,"Love, Kevin",113.9,251,11
Villanova,USA,1986-03-25,Kyle,6,1,1.85,1,7,Villanova/USA,Lowry,2006,200768,G,1610612761,"Lowry, Kyle",88.9,196,13
Indianapolis,USA,1993-07-27,Jordan,6,4,1.93,1,8,Indianapolis/USA,Loyd,2018,1628070,G,1610612761,"Loyd, Jordan",95.3,210,1
 ,France,1995-05-09,Timothe,6,6,1.98,1,7,France/France,Luwawu-Cabarrot,2016,1627789,G-F,1610612741,"Luwawu-Cabarrot, Timothe",95.3,210,3
Syracuse,USA,1996-04-09,Tyler,6,10,2.08,1,41,Syracuse/USA,Lydon,2017,1628399,F,1610612758,"Lydon, Tyler",102.1,225,2
Kentucky,USA,1995-11-05,Trey,6,10,2.08,1,,Kentucky/USA,Lyles,2015,1626168,F,1610612759,"Lyles, Trey",106.1,234,4
Alabama Huntsville,USA,1989-11-28,Josh,6,1,1.85,1,4,Alabama-Huntsville/USA,Magette,2017,203705,G,1610612753,"Magette, Josh",72.6,160,1
 ,France,1986-11-05,Ian,6,11,2.11,1,28,Pau Orthez/France,Mahinmi,2007,101133,C,1610612764,"Mahinmi, Ian",118.8,262,12
 ,South Sudan,1997-02-25,Thon,7,1,2.16,1,7,South Sudan/South Sudan,Maker,2016,1627748,F,1610612765,"Maker, Thon",100.2,221,3
Florida State University,USA,1996-10-18,Terance,6,7,2.01,1,,Florida State University/USA,Mann,,1629611,F,1610612746,"Mann, Terance",97.5,215,0
 ,Serbia,1997-01-09,Vanja,6,6,1.98,1,, Serbia,Marinkovic,,1629079,G,1610612758,"Marinkovic, Vanja",88.0,194,0
 ,Serbia,1988-08-15,Boban,7,3,2.21,1,51,Serbia/Serbia,Marjanovic,2015,1626246,C,1610612742,"Marjanovic, Boban",131.5,290,4
Arizona,Finland,1997-05-22,Lauri,7,0,2.13,1,24,Arizona/Finland,Markkanen,2017,1628374,F,1610612741,"Markkanen, Lauri",108.9,240,2
"University of Nevada, Reno",USA,1995-09-28,Caleb,6,7,2.01,1,,"University of Nevada, Reno/USA",Martin,,1628997,F,1610612766,"Martin, Caleb",93.0,205,0
"University of Nevada, Reno",USA,1995-09-28,Cody,6,7,2.01,1,, USA,Martin,,1628998,F,1610612766,"Martin, Cody",93.0,205,0
,USA,1996-06-19,Jeremiah,6,3,1.9,1,,Memphis/USA,Martin,,1629725,G,1610612748,"Martin, Jeremiah",83.9,185,0
Butler University,USA,1995-08-03,Kelan,6,7,2.01,1,,Butler University/USA,Martin,,1629103,F,1610612750,"Martin, Kelan",99.8,220,0
Kansas,USA,1994-04-03,Frank,5,11,1.8,1,,Kansas/USA,Mason,2017,1628412,G,1610612749,"Mason, Frank",86.2,190,2
,USA,1996-10-24,Garrison,6,5,1.96,1,, USA/USA,Mathews,,1629726,G,1610612764,"Mathews, Garrison",92.5,204,0
Purdue University,USA,1995-07-11,Dakota,6,4,1.93,1,,Purdue/USA,Mathias,,1629751,G,1610612742,"Mathias, Dakota",90.7,200,0
Marquette,USA,1986-10-14,Wesley,6,5,1.96,1,,Marquette/USA,Matthews,2009,202083,G-F,1610612749,"Matthews, Wesley",99.8,220,10
UNLV,USA,1995-10-25,Patrick,6,7,2.01,1,1,Nevada-Las Vegas/USA,McCaw,2016,1627775,G,1610612761,"McCaw, Patrick",83.9,185,3
Lehigh,USA,1991-09-19,CJ,6,3,1.9,1,3,Lehigh/USA,McCollum,2013,203468,G,1610612757,"McCollum, CJ",86.2,190,6
Arizona,USA,1992-03-25,T.J.,6,2,1.88,1,9,Arizona/USA,McConnell,2015,204456,G,1610612754,"McConnell, T.J.",86.2,190,4
San Diego State,USA,1998-01-31,Jalen,6,10,2.08,1,,San Diego State/USA,McDaniels,,1629667,F,1610612766,"McDaniels, Jalen",87.1,192,0
Creighton,USA,1992-01-03,Doug,6,8,2.03,1,20,Creighton/USA,McDermott,2014,203926,F,1610612754,"McDermott, Doug",102.1,225,5
 ,Australia,1998-04-13,William,6,5,1.96,1,, /Australia,McDowell-White,,1629727,G,1610612745,"McDowell-White, William",83.9,185,0
Nevada-Reno,USA,1988-01-19,JaVale,7,0,2.13,1,7,Nevada-Reno/USA,McGee,2008,201580,C,1610612747,"McGee, JaVale",122.5,270,11
Kansas State,USA,1991-07-29,Rodney,6,4,1.93,1,19,Kansas State/USA,McGruder,2016,203585,F-G,1610612746,"McGruder, Rodney",90.7,200,3
Wisc.-Green Bay,USA,1992-09-17,Alfonzo,6,8,2.03,1,28,Wisc.-Green Bay/USA,McKinnie,2017,1628035,F,1610612744,"McKinnie, Alfonzo",97.5,215,2
University of Southern California,USA,1996-04-09,Jordan,6,1,1.85,1,,USC/USA,McLaughlin,,1629162,G,1610612750,"McLaughlin, Jordan",83.9,185,0
Kansas,USA,1993-02-11,Ben,6,5,1.96,1,16,Kansas/USA,McLemore,2013,203463,G,1610612745,"McLemore, Ben",91.2,201,6
Tennessee,USA,1991-03-28,Jordan,6,5,1.96,1,52,Tennessee/USA,McRae,2015,203895,G,1610612764,"McRae, Jordan",81.2,179,3
,Italy,1991-01-26,Nicolo,6,9,2.06,1,20,Italy,Melli,,6006,F,1610612740,"Melli, Nicolo",106.6,235,0
University of Southern California,USA,1998-05-28,De'Anthony,6,4,1.93,1,,Southern California/USA,Melton,2018,1629001,F,1610612763,"Melton, De'Anthony",90.7,200,1
University of Southern California,USA,1997-03-22,Chimezie,6,10,2.08,1,7,University of Southern California/USA/USA,Metu,2018,1629002,F,1610612759,"Metu, Chimezie",102.1,225,1
Texas A&M,USA,1991-08-12,Khris,6,8,2.03,1,22,Texas A&M/USA,Middleton,2012,203114,F,1610612749,"Middleton, Khris",100.7,222,7
No College,USA,1987-03-18,CJ,6,6,1.98,1,,"Skyline HS (Dallas, TX)USA/USA",Miles,2005,101139,F-G,1610612764,"Miles, CJ",99.8,220,14
,USA,1994-06-09,Isaiah,6,8,2.03,1,,"St. Joseph's, PA/USA",Miles,,1627776,F,1610612755,"Miles, Isaiah",98.9,218,0
Kentucky,USA,1990-03-21,Darius,6,8,2.03,1,21,Kentucky/USA,Miller,2012,203121,F,1610612740,"Miller, Darius",102.1,225,5
